epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,669.235,0.61943,0.79568,1.1229,0.96983,0.9331,0.95966,0.76196,0.65141,0.45803,0.97107,0.000264557,0.000264557,0.000264557
81,676.178,0.59687,0.74797,1.12262,0.94391,0.93621,0.95993,0.79418,0.58967,0.47216,0.90768,0.000263032,0.000263032,0.000263032
82,685.887,0.6572,0.76288,1.07593,0.96629,0.93465,0.96395,0.79243,0.57783,0.45006,0.8818,0.000261507,0.000261507,0.000261507
83,692.857,0.56136,0.72667,1.11133,0.96188,0.92028,0.96343,0.78398,0.60637,0.47188,0.92607,0.000259983,0.000259983,0.000259983
84,702.616,0.58496,0.74832,1.1403,0.96452,0.91773,0.96448,0.78223,0.59708,0.47985,0.91078,0.000258458,0.000258458,0.000258458
85,709.533,0.62225,0.71846,1.09098,0.96568,0.92235,0.96896,0.79603,0.60437,0.45696,0.94628,0.000256934,0.000256934,0.000256934
86,719.352,0.60564,0.82543,1.14872,0.92041,0.95171,0.96029,0.7972,0.54427,0.4552,0.84304,0.000255409,0.000255409,0.000255409
87,726.332,0.63264,0.72409,1.08838,0.9702,0.93201,0.96698,0.8091,0.498,0.43773,0.80087,0.000253884,0.000253884,0.000253884
88,736.328,0.59765,0.7314,1.09536,0.9594,0.95625,0.97488,0.81333,0.53456,0.43358,0.86181,0.00025236,0.00025236,0.00025236
89,743.25,0.62529,0.71699,1.06612,0.96149,0.94211,0.97275,0.80438,0.55925,0.4549,0.88047,0.000250835,0.000250835,0.000250835
90,752.92,0.58363,0.74483,1.13204,0.96197,0.94933,0.96989,0.79867,0.58963,0.45012,0.90194,0.000249311,0.000249311,0.000249311
91,759.789,0.5802,0.67571,1.08264,0.97014,0.9364,0.97477,0.81085,0.56101,0.47197,0.88772,0.000247786,0.000247786,0.000247786
92,769.781,0.60926,0.70051,1.08076,0.95843,0.92897,0.97534,0.79719,0.57954,0.47818,0.90461,0.000246261,0.000246261,0.000246261
93,776.632,0.60308,0.74415,1.11565,0.96323,0.94181,0.98111,0.81185,0.56082,0.43783,0.88687,0.000244737,0.000244737,0.000244737
94,786.653,0.58882,0.71548,1.08282,0.97654,0.95788,0.97977,0.81742,0.55355,0.41865,0.8815,0.000243212,0.000243212,0.000243212
95,793.452,0.58774,0.70014,1.08725,0.97381,0.95725,0.96636,0.79143,0.59184,0.43218,0.91977,0.000241688,0.000241688,0.000241688
96,803.542,0.57608,0.68834,1.10394,0.96587,0.92269,0.97156,0.80116,0.56381,0.46653,0.88203,0.000240163,0.000240163,0.000240163
97,810.54,0.57035,0.67953,1.09835,0.96563,0.94253,0.97381,0.7998,0.54551,0.44672,0.8576,0.000238638,0.000238638,0.000238638
98,820.5,0.55752,0.68288,1.09358,0.96404,0.95149,0.97639,0.80277,0.52504,0.44168,0.83782,0.000237114,0.000237114,0.000237114
99,827.477,0.57185,0.68353,1.07933,0.96272,0.95422,0.97862,0.80493,0.58848,0.45475,0.91009,0.000235589,0.000235589,0.000235589
100,837.324,0.57803,0.68067,1.09222,0.96392,0.95342,0.97699,0.795,0.5672,0.45384,0.8679,0.000234065,0.000234065,0.000234065
101,844.355,0.54541,0.66886,1.11897,0.96475,0.96042,0.98551,0.81625,0.54686,0.45357,0.87177,0.00023254,0.00023254,0.00023254
102,853.832,0.58492,0.66322,1.10725,0.96471,0.94297,0.98065,0.80218,0.59686,0.44322,0.92152,0.000231015,0.000231015,0.000231015
103,860.754,0.58532,0.68033,1.07182,0.96017,0.9506,0.9831,0.81359,0.60144,0.42988,0.94104,0.000229491,0.000229491,0.000229491
104,870.453,0.57631,0.6695,1.07173,0.96412,0.97218,0.98731,0.81155,0.60151,0.43386,0.94419,0.000227966,0.000227966,0.000227966
105,877.548,0.56958,0.6481,1.07641,0.97126,0.94968,0.98647,0.80671,0.60966,0.43666,0.97105,0.000226442,0.000226442,0.000226442
106,886.797,0.53217,0.63437,1.06628,0.97244,0.95487,0.97928,0.80314,0.56946,0.42126,0.89242,0.000224917,0.000224917,0.000224917
107,893.948,0.5886,0.66757,1.07248,0.9704,0.9555,0.97861,0.81012,0.57792,0.42721,0.90543,0.000223392,0.000223392,0.000223392
108,903.526,0.53716,0.65231,1.07508,0.95942,0.96263,0.98546,0.80344,0.60304,0.43818,0.9021,0.000221868,0.000221868,0.000221868
109,910.802,0.55618,0.62705,1.09325,0.95877,0.94633,0.984,0.80664,0.59565,0.4529,0.90742,0.000220343,0.000220343,0.000220343
110,920.007,0.56539,0.6463,1.08876,0.96555,0.95125,0.97994,0.82401,0.55484,0.4216,0.87792,0.000218819,0.000218819,0.000218819
111,927.361,0.58139,0.68008,1.07175,0.96875,0.95202,0.9733,0.79001,0.57729,0.47539,0.89696,0.000217294,0.000217294,0.000217294
112,936.247,0.56162,0.63999,1.06066,0.96521,0.949,0.9815,0.8216,0.54259,0.42666,0.85573,0.000215769,0.000215769,0.000215769
113,943.966,0.62929,0.66262,1.05446,0.97028,0.94901,0.98323,0.80961,0.56958,0.4198,0.86528,0.000214245,0.000214245,0.000214245
114,952.547,0.57161,0.63293,1.05022,0.96945,0.95491,0.97628,0.7989,0.59497,0.42156,0.90288,0.00021272,0.00021272,0.00021272
115,960.527,0.50058,0.61548,1.09492,0.96521,0.95135,0.97444,0.78983,0.60874,0.41864,0.90683,0.000211196,0.000211196,0.000211196
116,968.927,0.5225,0.59841,1.07709,0.96214,0.96179,0.97551,0.81592,0.56486,0.41662,0.88681,0.000209671,0.000209671,0.000209671
117,977.395,0.54815,0.64323,1.09659,0.96826,0.95286,0.9804,0.82711,0.55792,0.42181,0.88488,0.000208146,0.000208146,0.000208146
118,985.441,0.55149,0.60362,1.07288,0.96778,0.95029,0.98089,0.80315,0.60035,0.44776,0.91215,0.000206622,0.000206622,0.000206622
119,994.18,0.55482,0.60582,1.04851,0.95794,0.9462,0.98265,0.82925,0.57785,0.45441,0.9029,0.000205097,0.000205097,0.000205097
120,1002.02,0.57476,0.65632,1.09099,0.95078,0.96461,0.98634,0.8146,0.58518,0.45452,0.8798,0.000203573,0.000203573,0.000203573
121,1010.72,0.53759,0.64377,1.0723,0.96324,0.95109,0.9835,0.82568,0.58937,0.44855,0.89139,0.000202048,0.000202048,0.000202048
122,1018.43,0.5085,0.59301,1.10022,0.95791,0.94496,0.98643,0.8111,0.59412,0.44616,0.89489,0.000200523,0.000200523,0.000200523
123,1026.75,0.53597,0.62283,1.07428,0.95953,0.95628,0.98786,0.82063,0.58734,0.43412,0.88976,0.000198999,0.000198999,0.000198999
124,1034.57,0.54861,0.61041,1.07476,0.9621,0.97078,0.98733,0.82474,0.57628,0.44405,0.88406,0.000197474,0.000197474,0.000197474
125,1043.38,0.5453,0.62639,1.07213,0.96331,0.96099,0.98335,0.78383,0.63456,0.4606,0.93908,0.00019595,0.00019595,0.00019595
126,1050.85,0.57636,0.63121,1.08374,0.96583,0.95727,0.98557,0.81395,0.55501,0.40671,0.8536,0.000194425,0.000194425,0.000194425
127,1059.68,0.54517,0.61048,1.07123,0.97611,0.9575,0.98774,0.83771,0.56542,0.40271,0.88098,0.0001929,0.0001929,0.0001929
128,1067.06,0.50392,0.5926,1.07993,0.93778,0.95877,0.98134,0.82271,0.55712,0.41228,0.84849,0.000191376,0.000191376,0.000191376
129,1075.89,0.50874,0.56681,1.08184,0.96859,0.94796,0.98502,0.82414,0.56231,0.40426,0.87491,0.000189851,0.000189851,0.000189851
130,1083.44,0.53098,0.59939,1.07805,0.95646,0.97259,0.98728,0.81252,0.59605,0.40346,0.90386,0.000188327,0.000188327,0.000188327
131,1092.68,0.53955,0.60953,1.07157,0.96598,0.97216,0.9866,0.81211,0.58927,0.4097,0.8913,0.000186802,0.000186802,0.000186802
132,1100.19,0.55761,0.5979,1.05116,0.96802,0.98402,0.98604,0.80506,0.56125,0.42194,0.86234,0.000185277,0.000185277,0.000185277
133,1109.25,0.53466,0.60218,1.06062,0.97937,0.96005,0.98723,0.81229,0.59233,0.40792,0.92997,0.000183753,0.000183753,0.000183753
134,1116.97,0.51252,0.56869,1.06186,0.97454,0.96719,0.9878,0.82748,0.54844,0.39381,0.85508,0.000182228,0.000182228,0.000182228
135,1126.07,0.49576,0.58616,1.07107,0.95188,0.97465,0.98746,0.8123,0.59097,0.40703,0.90573,0.000180704,0.000180704,0.000180704
136,1133.63,0.54989,0.63047,1.09555,0.97166,0.95092,0.98689,0.80648,0.59244,0.41615,0.90533,0.000179179,0.000179179,0.000179179
137,1142.86,0.55955,0.62517,1.05803,0.97147,0.956,0.98586,0.81135,0.59015,0.39834,0.91565,0.000177654,0.000177654,0.000177654
138,1150.3,0.50139,0.56747,1.06775,0.96727,0.96159,0.98485,0.83192,0.529,0.38117,0.84793,0.00017613,0.00017613,0.00017613
139,1159.57,0.52294,0.55365,1.05397,0.92676,0.98189,0.98596,0.79973,0.59941,0.40882,0.91219,0.000174605,0.000174605,0.000174605
140,1167.06,0.50328,0.54071,1.03971,0.96105,0.94622,0.98542,0.82436,0.56725,0.40361,0.87926,0.000173081,0.000173081,0.000173081
141,1176.26,0.50965,0.56301,1.06444,0.96779,0.94508,0.97855,0.82744,0.55546,0.38402,0.86498,0.000171556,0.000171556,0.000171556
142,1183.58,0.50507,0.54039,1.03233,0.96462,0.94514,0.98138,0.81186,0.58195,0.38007,0.87837,0.000170031,0.000170031,0.000170031
143,1192.6,0.48192,0.57603,1.06345,0.96055,0.9589,0.98699,0.82182,0.56834,0.39368,0.88566,0.000168507,0.000168507,0.000168507
144,1200.02,0.50127,0.56215,1.06103,0.94137,0.97274,0.98398,0.81839,0.58112,0.41139,0.89428,0.000166982,0.000166982,0.000166982
145,1208.88,0.51673,0.54912,1.0259,0.93999,0.97396,0.98536,0.83678,0.54093,0.39779,0.85931,0.000165458,0.000165458,0.000165458
146,1216.46,0.53549,0.55582,1.04553,0.95428,0.96605,0.98631,0.79649,0.58961,0.41851,0.85869,0.000163933,0.000163933,0.000163933
147,1225.62,0.5608,0.55626,1.03096,0.96445,0.95244,0.98613,0.82924,0.5368,0.40165,0.8422,0.000162408,0.000162408,0.000162408
148,1233.12,0.54868,0.59101,1.04127,0.96874,0.96207,0.9857,0.81649,0.54694,0.40104,0.83504,0.000160884,0.000160884,0.000160884
149,1242.51,0.5155,0.54591,1.04723,0.96232,0.96403,0.98581,0.82711,0.55749,0.40723,0.86306,0.000159359,0.000159359,0.000159359
150,1250.2,0.51473,0.54997,1.04216,0.96376,0.96168,0.98572,0.8329,0.56134,0.41026,0.87568,0.000157835,0.000157835,0.000157835
151,1259.18,0.51221,0.56519,1.05205,0.95271,0.98774,0.98697,0.83413,0.55432,0.38183,0.86126,0.00015631,0.00015631,0.00015631
152,1266.66,0.43958,0.52959,1.04655,0.97035,0.97402,0.98691,0.82536,0.56061,0.3734,0.84242,0.000154785,0.000154785,0.000154785
153,1275.52,0.5004,0.55526,1.05608,0.96289,0.9875,0.98572,0.83204,0.53925,0.37361,0.82424,0.000153261,0.000153261,0.000153261
154,1282.96,0.49003,0.52336,1.05152,0.96758,0.96339,0.98462,0.82878,0.55017,0.37952,0.84971,0.000151736,0.000151736,0.000151736
155,1291.8,0.51811,0.54501,1.04988,0.93844,0.98661,0.98498,0.81852,0.57582,0.38835,0.87308,0.000150212,0.000150212,0.000150212
156,1299.41,0.45473,0.51969,1.07252,0.97062,0.97803,0.98727,0.8019,0.59802,0.39555,0.87521,0.000148687,0.000148687,0.000148687
157,1308.52,0.47913,0.51804,1.03238,0.97037,0.97403,0.9858,0.81758,0.54939,0.38513,0.83883,0.000147162,0.000147162,0.000147162
158,1316.01,0.53605,0.53677,1.03836,0.97174,0.96578,0.98561,0.82334,0.55098,0.36774,0.84744,0.000145638,0.000145638,0.000145638
159,1325,0.50302,0.52671,1.0187,0.96074,0.97081,0.98526,0.81234,0.57537,0.3861,0.8721,0.000144113,0.000144113,0.000144113
160,1332.94,0.50141,0.52538,1.02951,0.97698,0.95698,0.98417,0.82845,0.54106,0.38953,0.84296,0.000142589,0.000142589,0.000142589
161,1341.41,0.46519,0.50628,1.02643,0.97227,0.95724,0.98398,0.79896,0.60786,0.39196,0.89841,0.000141064,0.000141064,0.000141064
162,1349.3,0.5005,0.52042,1.03613,0.97095,0.9662,0.98437,0.83293,0.55714,0.38707,0.8597,0.000139539,0.000139539,0.000139539
163,1358.16,0.50035,0.54014,1.04129,0.96983,0.94518,0.98365,0.82887,0.55398,0.41132,0.85955,0.000138015,0.000138015,0.000138015
164,1365.92,0.51319,0.54449,1.02053,0.96555,0.9486,0.985,0.81293,0.58449,0.38875,0.88402,0.00013649,0.00013649,0.00013649
165,1374.4,0.49741,0.5314,1.0412,0.96883,0.97587,0.98644,0.82451,0.55805,0.38248,0.84566,0.000134966,0.000134966,0.000134966
166,1382.1,0.48355,0.53011,1.05828,0.97839,0.98155,0.98577,0.81819,0.56064,0.38737,0.8489,0.000133441,0.000133441,0.000133441
167,1390.9,0.45662,0.50207,1.04128,0.97804,0.97671,0.98665,0.81579,0.54554,0.36882,0.83243,0.000131916,0.000131916,0.000131916
168,1398.72,0.48649,0.5236,1.02044,0.97726,0.97171,0.98524,0.81862,0.52083,0.37308,0.81621,0.000130392,0.000130392,0.000130392
169,1407.76,0.48589,0.50911,1.01614,0.97462,0.97703,0.98475,0.81941,0.52043,0.38477,0.80835,0.000128867,0.000128867,0.000128867
170,1415.54,0.49229,0.52494,1.01773,0.97083,0.96477,0.98478,0.82584,0.55651,0.39102,0.85524,0.000127343,0.000127343,0.000127343
171,1424.41,0.45953,0.51746,1.02198,0.95269,0.97089,0.9836,0.82417,0.57485,0.3948,0.87932,0.000125818,0.000125818,0.000125818
172,1431.91,0.50038,0.53544,1.02885,0.9391,0.98329,0.98366,0.82652,0.52252,0.39477,0.81662,0.000124293,0.000124293,0.000124293
173,1440.67,0.49266,0.52169,1.06409,0.95426,0.97228,0.98404,0.82999,0.51595,0.37268,0.80604,0.000122769,0.000122769,0.000122769
174,1448.5,0.49189,0.49846,1.02964,0.97378,0.96683,0.98493,0.81366,0.57659,0.37976,0.87017,0.000121244,0.000121244,0.000121244
175,1457.25,0.50038,0.52292,1.03213,0.96973,0.97274,0.98398,0.83258,0.5464,0.36947,0.8464,0.00011972,0.00011972,0.00011972
176,1465.1,0.45179,0.49885,1.03734,0.97456,0.96523,0.98455,0.83217,0.54065,0.37195,0.83911,0.000118195,0.000118195,0.000118195
177,1474.01,0.43828,0.48822,1.01931,0.97286,0.97395,0.98465,0.83357,0.51802,0.36559,0.81424,0.00011667,0.00011667,0.00011667
178,1481.69,0.43488,0.47323,1.03723,0.97809,0.98304,0.98597,0.82713,0.54584,0.3794,0.83386,0.000115146,0.000115146,0.000115146
179,1490.33,0.45125,0.49193,1.00912,0.97241,0.98721,0.98676,0.82661,0.54255,0.36098,0.82934,0.000113621,0.000113621,0.000113621
180,1498.03,0.47082,0.49769,1.02562,0.97661,0.97236,0.98653,0.82868,0.55764,0.3705,0.8357,0.000112097,0.000112097,0.000112097
181,1506.87,0.43554,0.48324,1.01729,0.97816,0.97035,0.98391,0.82184,0.56523,0.3728,0.85218,0.000110572,0.000110572,0.000110572
